x,y,z
-21,89,-3
-15,77,1
-13,70,2
-19,68,4
-20,69,3
-17,64,3
-14,58,5
-14,58,5
-14,52,7
-14,50,8
-14,54,8
-15,57,8
-15,60,7
-17,58,6
-17,65,4
-16,73,2
-17,79,6
-18,75,7
-23,68,10
-24,60,14
-22,50,12
-22,56,11
-22,67,12
-21,72,10
-20,70,12
-23,65,12
-24,60,12
-23,54,13
-22,53,12
-22,58,9
-23,60,11
-21,59,12
-22,59,14
-23,57,15
-24,58,14
-26,59,14
-25,61,15
-21,67,16
-19,67,14
-19,71,9
-22,75,6
-21,77,5
-23,70,3
-24,64,2
-23,49,-1
-23,53,-1
-23,68,2
-21,75,0
-19,83,-2
-17,78,-3
-12,70,-2
-11,68,0
-14,65,-2
-15,63,-1
-19,61,0
-17,60,0
-16,57,0
-15,55,2
-16,52,3
-18,54,5
-18,55,4
-19,57,3
-21,59,5
-22,63,4
-19,69,2
-17,83,-1
-20,83,0
-21,72,7
-21,64,10
-17,53,7
-20,56,4
-27,63,4
-28,69,5
-22,66,11
-18,67,10
-20,66,9
-26,62,8
-30,59,10
-22,57,9
-20,60,9
-21,60,7
-22,58,6
-24,58,6
-22,57,6
-19,61,5
-19,60,5
-19,65,7
-19,66,6
-20,66,6
-19,69,5
-18,80,3
-19,82,2
-22,81,2
-24,62,0
-23,51,-1
-27,57,-2
-30,63,-1
-27,73,0
-25,75,-2
-19,69,-1
-19,65,0
-19,58,0
-21,57,-2
-23,56,-4
-23,55,-3
-20,54,-2
-19,56,-1
-19,61,1
-18,63,0
-15,65,0
-13,66,1
-11,76,-2
-14,75,-1
-16,66,0
-24,60,5
-25,57,11
-24,52,15
-23,51,15
-17,56,17
-15,61,15
-20,73,14
-21,73,15
-25,65,15
-24,59,15
-22,55,13
-23,56,13
-21,57,13
-21,58,14
-22,58,15
-24,56,14
-26,54,14
-26,50,10
-26,53,12
-22,58,11
-22,61,10
-22,74,7
-21,81,6
-22,81,1
-23,81,1
-21,66,0
-22,58,-2
-21,64,-2
-19,68,-4
-20,72,-5
-21,73,-4
-20,70,-5
-19,71,-4
-17,67,-4
-19,63,-2
-19,61,3
-20,58,-1
-24,58,-1
-27,57,0
-28,55,-1
-30,55,-1
-31,57,-2
-32,57,-1
-33,57,1
-31,54,1
-31,59,2
-32,70,1
-34,69,5
-35,67,9
-36,62,12
-33,48,16
-31,48,13
-30,55,11
-24,61,12
-25,61,8
-26,57,13
-26,53,13
-30,48,8
-34,49,10
-31,53,11
-29,54,11
-30,55,13
-30,54,15
-30,52,15
-31,52,15
-28,52,16
-29,52,15
-32,52,16
-30,54,16
-26,57,14
-27,55,12
-27,64,13
-25,69,11
-25,71,11
-26,80,15
-25,71,16
-24,54,24
-22,59,24
-15,65,22
-11,70,19
-23,77,9
-24,69,8
-25,59,-1
-26,59,0
-23,54,2
-21,52,1
-27,57,9
-27,59,9
-32,57,13
-35,57,13
-40,57,8
-36,59,11
-39,60,8
-35,60,11
-31,59,14
-28,58,14
-28,68,11
-26,87,13
-23,76,15
-21,66,20
-23,59,23
-21,42,26
-23,42,26
-18,57,22
-14,60,24
-7,55,26
-9,53,29
-11,52,29
-13,54,21
-16,56,17
-21,62,15
-22,64,13
-26,66,13
-27,65,16
-26,60,15
-26,56,14
-26,57,9
-27,59,8
-29,60,10
-29,63,12
-26,75,15
-27,79,15
-29,79,13
-31,77,16
-32,66,17
-29,48,11
-27,50,9
-29,62,8
-27,72,9
-17,82,6
-15,82,4
-18,79,3
-20,77,2
-21,71,2
-21,69,2
-19,64,2
-16,61,3
-14,56,7
-15,57,8
-14,56,8
-12,58,8
-12,57,7
-14,55,5
-13,60,3
-14,69,7
-15,65,9
-18,68,17
-18,66,19
-19,54,25
-17,50,23
-21,63,20
-21,70,19
-21,76,13
-23,73,12
-24,67,19
-23,63,18
-23,58,13
-24,59,14
-26,63,13
-24,63,18
-24,58,20
-26,51,22
-26,49,22
-27,49,20
-26,54,20
-23,61,19
-21,65,17
-22,78,12
-25,80,10
-27,77,7
-29,69,8
-28,46,5
-27,46,2
-30,63,-1
-29,74,-1
-24,85,-2
-20,86,-3
-15,78,-2
-19,70,1
-21,70,2
-19,69,3
-17,66,4
-14,59,6
-14,59,6
-13,56,9
-11,54,11
-9,57,12
-10,58,11
-14,57,11
-15,59,11
-13,69,9
-12,74,9
-16,76,12
-19,73,13
-22,62,18
-20,50,16
-20,56,14
-20,69,12
-20,75,12
-21,73,13
-22,67,15
-23,57,14
-23,56,14
-23,56,13
-24,57,12
-23,60,13
-24,59,14
-24,52,18
-25,49,19
-27,51,18
-27,53,17
-25,62,16
-24,64,15
-22,70,11
-25,82,8
-24,83,7
-26,77,7
-26,65,7
-25,47,4
-26,52,1
-31,71,2
-27,80,3
-15,83,0
-12,79,0
-14,70,1
-17,71,-1
-17,68,1
-16,66,0
-11,58,1
-11,55,3
-13,56,2
-15,57,4
-15,54,4
-18,57,4
-19,59,4
-18,58,4
-19,57,6
-20,63,8
-19,71,3
-22,87,5
-24,83,8
-24,73,9
-23,60,9
-24,54,14
-27,62,12
-27,68,8
-26,69,6
-24,70,19
